Date/Time,Count
09/20/2014 16:00,2385
09/20/2014 17:00,2595
09/20/2014 18:00,2599
09/20/2014 19:00,2609
09/20/2014 20:00,2382
09/20/2014 21:00,2433
09/20/2014 22:00,2559
09/20/2014 23:00,2514
09/21/2014 00:00,2383
09/21/2014 01:00,1960
09/21/2014 02:00,1138
09/21/2014 03:00,568
09/21/2014 04:00,369
09/21/2014 05:00,385
09/21/2014 06:00,415
09/21/2014 07:00,547
09/21/2014 08:00,691
09/21/2014 09:00,890
09/21/2014 10:00,1064
09/21/2014 11:00,1197
09/21/2014 12:00,1301
09/21/2014 13:00,1442
09/21/2014 14:00,1496
09/21/2014 15:00,1503
09/21/2014 16:00,1593
09/21/2014 17:00,1588
09/21/2014 18:00,1616
09/21/2014 19:00,1471
09/21/2014 20:00,1334
09/21/2014 21:00,1199
09/21/2014 22:00,914
09/21/2014 23:00,565
09/22/2014 00:00,273
09/22/2014 01:00,162
09/22/2014 02:00,145
09/22/2014 03:00,326
09/22/2014 04:00,527
09/22/2014 05:00,907
09/22/2014 06:00,1325
09/22/2014 07:00,1639
09/22/2014 08:00,1564
09/22/2014 09:00,1158
09/22/2014 10:00,1117
09/22/2014 11:00,1036
09/22/2014 12:00,1015
09/22/2014 13:00,1170
09/22/2014 14:00,1351
09/22/2014 15:00,1614
09/22/2014 16:00,1846
09/22/2014 17:00,1902
09/22/2014 18:00,1894
09/22/2014 19:00,1773
09/22/2014 20:00,1707
09/22/2014 21:00,1508
09/22/2014 22:00,1022
09/22/2014 23:00,627
09/23/2014 00:00,321
09/23/2014 01:00,168
09/23/2014 02:00,122
09/23/2014 03:00,223
09/23/2014 04:00,376
09/23/2014 05:00,823
09/23/2014 06:00,1394
09/23/2014 07:00,1715
09/23/2014 08:00,1463
09/23/2014 09:00,1173
09/23/2014 10:00,1047
09/23/2014 11:00,1044
09/23/2014 12:00,1016
09/23/2014 13:00,1171
09/23/2014 14:00,1452
09/23/2014 15:00,1700
09/23/2014 16:00,1878
09/23/2014 17:00,2132
09/23/2014 18:00,2295
09/23/2014 19:00,2221
09/23/2014 20:00,2008
09/23/2014 21:00,1816
09/23/2014 22:00,1375
09/23/2014 23:00,725
09/24/2014 00:00,403
09/24/2014 01:00,218
09/24/2014 02:00,139
09/24/2014 03:00,261
09/24/2014 04:00,410
09/24/2014 05:00,786
